Profession,Income,Credit_card_number,Expiry,Security_code,Fraud,Transaction_amount
DOCTOR,49804,4232750178860,09/31,167,1,45458.44
LAWYER,23405,347135591749656,07/30,861,1,20431.8
LAWYER,32253,4488661931363,01/33,720,0,8012.15
LAWYER,88406,5154197633509424,01/26,641,1,105541.27
LAWYER,62626,30586447963796,05/28,142,1,45094.14
LAWYER,4232,4901604632385,12/27,799,0,1890.91
DOCTOR,94189,4310623703492104,09/34,308,1,93184.73
LAWYER,22788,4117122522045321,12/33,585,1,20949.18
LAWYER,91365,4517504093232240619,12/26,1156,0,35641.77
LAWYER,49750,4166057653118093,07/33,444,0,14659.71
ENGINEER,64219,3577534038049651,02/33,395,0,28858.05
ENGINEER,90104,502084853436,11/24,8,1,103651.22
ENGINEER,91181,373730078467785,10/27,639,0,24499.27
ENGINEER,59206,3580862452313310,04/30,1,0,12476.55
LAWYER,35139,4434748974874382,11/31,616,0,11839.74
DOCTOR,14783,4625618987416,11/25,765,1,17091.83
ENGINEER,48602,30551674728841,01/32,847,0,8955.64
DOCTOR,3815,4231552460021,11/30,131,0,1332.15
ENGINEER,17920,639063307404,03/28,758,0,6319.02
ENGINEER,99294,4813627728423,11/30,9217,0,39046.89
ENGINEER,54098,3584036373161233,08/32,326,0,8256.82
LAWYER,70210,4691916173866511,12/29,7,1,74276.04
DOCTOR,11932,4846142961939,09/33,139,1,13775.69
LAWYER,20630,630436060069,08/27,7477,0,3545.75
DOCTOR,85414,180055392100885,12/28,68,1,69934.56
ENGINEER,46331,4017304184658,08/30,300,0,22635.38
DOCTOR,61134,4642807345074,09/28,7814,0,10538.94
LAWYER,81361,375432857269346,12/28,574,1,91709.51
ENGINEER,24911,213150476049446,11/31,240,1,23569.27
ENGINEER,68575,38166454864518,03/33,251,1,56479.44
LAWYER,4213,501858794933,07/32,273,0,1888.69
DOCTOR,12616,501895666953,09/28,3423,1,11640.19
DOCTOR,70333,3586240838357000,09/28,8351,1,67337.42
DOCTOR,5735,4221968544039376,06/25,535,0,1397.58
ENGINEER,72773,630401614502,07/27,105,0,24537.62
DOCTOR,80020,676203720260,06/31,510,1,62556.59
LAWYER,7597,4098535652366,07/31,56,0,1948.12
ENGINEER,56477,4769611947768831,02/29,754,1,66908.65
ENGINEER,6505,6011926011087715,01/26,178,0,1322.16
ENGINEER,80093,3543178112926771,09/33,919,0,29049.3
DOCTOR,11131,4814055654857032799,11/32,509,0,2560.98
DOCTOR,70135,4974215463099724117,01/28,402,1,76218.27
LAWYER,98895,213111992260107,04/34,501,1,75697.88
ENGINEER,70807,6553192307897978,02/32,376,0,34548.75
DOCTOR,65205,4972020986695450504,08/27,9223,0,18356.24
DOCTOR,45103,3558274581058055,10/29,1,0,8768.93
LAWYER,30899,4549352607289,01/32,704,0,3998.29
ENGINEER,41909,3527378506095585,12/27,7814,1,32893.49
ENGINEER,59166,36321585278003,10/25,177,1,56792.67
DOCTOR,19816,30138672395896,01/32,609,1,17210.23
DOCTOR,49828,4748844111105631,03/30,274,1,55530.4
ENGINEER,50734,4934047312344686,01/32,216,0,13817.66
LAWYER,82760,3542160715733466,11/32,841,1,68223.8
ENGINEER,25285,6522968586380010,04/33,492,1,25501.76
LAWYER,53737,4167999786778,03/28,170,1,56605.94
ENGINEER,30720,2293214101543725,06/34,787,0,5124.61
DOCTOR,2849,213183651898428,02/26,788,1,2233.07
LAWYER,51916,4642306255188,07/34,570,1,37293.12
DOCTOR,9648,676237628968,06/30,335,1,10306.0
LAWYER,55779,4315204054090196,01/27,618,0,20388.44
LAWYER,20698,6513242167002711,11/29,959,1,19400.55
LAWYER,57369,4317485251254,01/34,734,1,64372.91
LAWYER,11519,60459037374,08/28,603,0,4864.11
LAWYER,65795,6531174123887968,05/34,813,1,65313.2
LAWYER,96472,347055529171403,03/25,104,1,109412.33
DOCTOR,82202,3576177246658250,02/28,26,0,14988.42
LAWYER,25445,180025537498353,01/27,802,0,3683.62
ENGINEER,25973,3562046985856860,01/30,7441,1,21684.2
LAWYER,51725,4141563815770107330,02/27,473,0,6353.63
DOCTOR,45787,3581702549218677,09/32,123,0,14306.96
ENGINEER,77654,345838620716735,09/28,796,1,90723.39
DOCTOR,82511,5542449701320874,09/29,282,0,9549.61
LAWYER,27325,30275801952682,08/25,701,1,20795.83
LAWYER,58084,3555015412646011,02/26,925,1,53791.56
LAWYER,59383,3548278057984267,10/26,347,1,69296.25
ENGINEER,37128,2244075924624772,09/29,313,0,8408.1
ENGINEER,50511,36660369049340,04/32,640,1,48168.17
DOCTOR,34151,4416485756451210,07/33,222,0,3983.0
DOCTOR,4715,4811880890447549,07/33,342,0,751.28
ENGINEER,96619,6011903710970350,03/33,971,1,115296.91
DOCTOR,44794,4007391451876443,10/27,503,1,52971.56
LAWYER,8051,36312599825152,08/29,751,0,821.01
DOCTOR,70546,4416067877229,06/32,724,0,33913.21
ENGINEER,22032,3515709334814595,10/27,43,0,7835.64
LAWYER,91430,2280684006039232,11/27,981,0,40884.51
ENGINEER,44278,376711242461901,12/25,828,0,12481.79
LAWYER,38106,213164856792996,07/25,190,1,36497.85
ENGINEER,56604,3546604491819656,10/28,582,1,53458.14
ENGINEER,53813,4461693778182698475,10/32,136,1,55612.08
DOCTOR,40842,3589487908080775,09/34,333,0,6365.65
ENGINEER,94395,4036320354422125,06/27,571,0,10571.24
LAWYER,94416,4720983621440112,11/31,107,1,80627.96
DOCTOR,10857,4201877820697241,11/30,250,0,4145.99
LAWYER,12549,6504192836154438,07/28,4851,1,10050.83
DOCTOR,88681,4756176440854707,06/34,78,1,91937.03
DOCTOR,56166,341526467046910,03/25,644,1,66554.24
ENGINEER,9149,3507016935493526,11/32,690,0,1258.54
DOCTOR,91427,213133217499088,02/33,530,1,94745.9
DOCTOR,12045,372835296103889,12/27,118,1,11103.99
ENGINEER,14029,374550461132948,05/31,674,0,6274.57
ENGINEER,46035,4971484805205747442,12/31,752,0,7865.54
ENGINEER,93293,588462831904,12/27,526,0,35176.16
LAWYER,94473,4617433993478561459,04/28,699,1,105720.73
LAWYER,58356,588676526142,01/26,472,0,27885.16
ENGINEER,69989,4106478590594902,06/29,416,0,26126.84
DOCTOR,73421,180032214203270,10/26,372,1,69646.23
DOCTOR,17589,4790160381424,08/25,448,1,17745.96
LAWYER,40220,213138651973852,06/33,808,1,45627.68
ENGINEER,81725,4107186625402525975,01/27,601,1,80524.04
ENGINEER,93054,344903423547678,03/31,123,1,66551.62
DOCTOR,81613,561162727987,10/30,579,1,95117.86
DOCTOR,57827,30240494301423,10/32,36,0,21732.01
LAWYER,57910,5133841957169507,10/33,861,0,21461.76
LAWYER,74018,374172980130392,09/25,776,1,59794.52
ENGINEER,94841,4840263013217400316,07/26,789,1,97633.38
ENGINEER,88989,4782626802236792,03/31,253,0,22918.74
ENGINEER,59745,4263260895214,04/27,539,0,21537.67
DOCTOR,16096,3533683963968790,12/27,765,1,12125.06
LAWYER,29517,3588128665699115,08/29,367,1,30370.71
ENGINEER,74140,374846683722007,10/27,967,1,88946.27
LAWYER,38125,503800676978,08/29,432,1,27606.54
LAWYER,73934,377340320875185,04/27,659,1,87877.0
ENGINEER,87664,3599345191853860,04/34,870,1,79200.39
ENGINEER,68631,36589480515329,02/29,466,0,30767.37
LAWYER,94922,3595331573142050,02/34,28,1,103578.2
DOCTOR,71120,5386360511700859,06/26,908,1,69947.1
LAWYER,62235,379696136237946,05/28,881,0,24606.45
ENGINEER,40212,3546564564290401,12/24,804,0,18151.95
DOCTOR,8712,372316643572050,01/26,791,1,7858.84
LAWYER,32214,4663386812951854143,01/32,311,1,27817.32
ENGINEER,60846,2367250980932036,01/34,301,0,22332.75
ENGINEER,78935,4749268394379318,10/25,831,1,87138.16
LAWYER,56247,30558854467538,02/28,893,1,60811.03
ENGINEER,21212,3503231852988176,02/34,202,1,23310.01
DOCTOR,67405,2288996161436835,11/28,400,1,61863.75
LAWYER,71413,4598816309214,11/29,963,0,30502.9
LAWYER,79728,4149458327929842487,01/28,243,1,60601.61
DOCTOR,78935,3516447872727460,03/34,525,0,25085.2
DOCTOR,71879,38101997844396,12/26,668,0,7353.47
LAWYER,7991,4698456057583512765,08/25,823,1,6890.58
DOCTOR,72926,502010961758,01/26,979,1,64410.49
DOCTOR,89837,180003909990471,07/25,6733,0,23220.09
ENGINEER,88162,580488562977,12/33,92,1,92370.29
DOCTOR,32892,30232645238455,03/33,749,1,29414.63
LAWYER,41103,4407051259086,02/25,879,1,37993.43
ENGINEER,3480,4708252249085,01/26,458,1,2849.33
LAWYER,32497,347271790983877,06/33,523,1,28812.68
ENGINEER,14792,4659633903441008,06/32,298,1,12035.29
LAWYER,71477,4257346359416182629,12/30,952,1,52649.81
ENGINEER,60856,30040083344432,04/34,4926,1,60960.93
DOCTOR,77254,2297006774285212,06/30,138,1,79888.86
ENGINEER,43060,3506636951051204,12/30,694,0,14976.1
ENGINEER,41311,30184685333631,06/34,709,1,38491.4
LAWYER,21403,4528895882777889,01/31,391,0,5391.72
DOCTOR,6095,4951411525804964236,08/28,702,0,2714.31
LAWYER,75478,180061943160410,07/31,737,1,72424.23
LAWYER,71179,348645759660288,12/26,67,1,66879.14
LAWYER,31444,6565582925721459,11/27,81,0,3466.92
DOCTOR,43539,3559148494081686,10/30,980,1,37906.09
LAWYER,70286,3504636530322797,10/25,4,1,62561.41
ENGINEER,77669,2720647751687586,04/30,194,0,20157.37
DOCTOR,74674,3552448402008327,11/28,219,0,24796.92
ENGINEER,11961,4514002864435554,01/34,836,0,3749.07
LAWYER,89208,4128076989662921293,03/26,596,0,30612.8
LAWYER,13241,570653768228,03/34,282,0,5375.23
LAWYER,62842,6011318774742480,08/34,292,0,26720.06
LAWYER,56537,3587334455329712,03/32,808,1,59876.16
DOCTOR,25169,2225165262189976,12/26,689,1,29643.09
DOCTOR,68346,4640611997174539087,02/30,448,0,7333.05
DOCTOR,8927,4566785529683579,08/31,758,0,1591.78
LAWYER,18678,3515508239417508,03/29,494,1,13145.23
DOCTOR,83297,4680778940940218854,05/25,702,1,85274.25
ENGINEER,65346,6588356233088742,12/28,991,0,30007.68
ENGINEER,12206,4682303513094250963,04/29,534,0,2409.38
LAWYER,21538,30141649066608,07/26,15,0,10140.39
ENGINEER,28819,4833359356476536,10/29,706,1,21041.72
ENGINEER,26683,6531103036170360,10/26,446,1,31144.88
ENGINEER,82531,3586328940677686,10/27,233,1,72281.59
ENGINEER,46810,3578143271515227,04/33,267,0,6580.0
LAWYER,5384,4622222021272695,07/34,65,1,5076.77
DOCTOR,62562,4621793113757018164,07/33,673,0,12681.98
DOCTOR,49557,3562058002327387,12/24,944,0,10602.68
DOCTOR,97340,4558609407573178360,03/29,399,1,83093.8
LAWYER,89800,6551352938487068,03/27,922,0,37824.69
ENGINEER,36799,213102834120153,10/29,550,0,11616.14
ENGINEER,11220,3593371758043378,12/32,150,1,9600.44
DOCTOR,47611,213189451879153,02/29,608,1,47857.0
LAWYER,70106,180002509529531,09/32,452,1,74177.43
DOCTOR,95350,371540405048774,04/28,500,1,79742.35
LAWYER,85802,213139353261406,08/31,251,1,77803.07
LAWYER,38750,4151350388666589868,10/29,9720,0,5764.23
ENGINEER,61393,3514706407796502,04/25,682,0,10587.82
LAWYER,183,676276860530,05/27,404,1,190.42
DOCTOR,18141,180046055697036,04/32,999,1,14344.44
ENGINEER,85717,36314124128847,06/28,280,0,26577.87
ENGINEER,37574,180050251967086,04/32,7454,1,39622.65
DOCTOR,83324,30089178201791,08/29,113,0,11894.57
ENGINEER,31500,4719138083298457,08/25,496,0,10298.13
DOCTOR,62973,30479786282681,07/31,919,0,12759.91
ENGINEER,96993,4476629473817834,07/26,5,0,47058.17
LAWYER,26602,676278569626,02/29,883,0,7805.51
LAWYER,80991,180017529374924,08/30,357,1,89332.77
LAWYER,12089,213199272869762,10/31,431,0,3869.58
LAWYER,46474,346207127334450,10/28,509,1,33540.58
LAWYER,48437,4684294916946464103,10/28,697,0,17110.88
DOCTOR,56616,374231568137615,03/28,83,1,66563.53
LAWYER,56840,4155336257058,07/30,650,0,19362.25
LAWYER,23845,4158682943931474,01/32,443,1,26458.28
ENGINEER,49759,180080564163446,03/26,608,1,56829.91
ENGINEER,33031,4751758030508680431,10/25,867,1,26888.55
ENGINEER,70028,30049955712899,06/34,492,1,56444.14
LAWYER,52546,3573008197811437,12/29,1823,0,18096.44
ENGINEER,79499,676127833181,07/31,2306,0,21020.44
DOCTOR,39163,3517210801849873,11/29,100,0,17072.9
DOCTOR,7444,180008570295506,02/33,266,0,3424.31
DOCTOR,23065,38060371883901,04/32,82,0,5567.17
DOCTOR,95170,4089330383837231,11/28,635,1,77890.49
ENGINEER,15574,341563731861733,10/27,861,1,16979.75
LAWYER,16738,3577890011715647,04/25,19,0,3513.68
DOCTOR,57232,4936116234138512923,10/32,988,1,63602.33
DOCTOR,5725,3573778466373414,06/34,821,1,5220.45
ENGINEER,5456,346203990742564,12/26,933,1,5640.28
LAWYER,45839,3544317910481329,06/26,287,1,34276.92
ENGINEER,38805,4739141419738,07/33,430,0,13564.04
ENGINEER,31218,639041327300,02/34,532,1,28904.24
ENGINEER,38940,3505397714034364,04/30,862,0,13031.01
ENGINEER,9821,3530289374280354,09/25,46,1,7699.73
DOCTOR,4384,4577694095256724992,08/26,290,0,1730.58
LAWYER,38631,4740329441046760,12/33,22,1,43707.06
LAWYER,44801,3547690379288097,08/31,532,0,8364.16
DOCTOR,79562,4335670350720056,10/26,66,1,59501.02
LAWYER,12266,213134313983355,12/33,114,0,1342.58
LAWYER,60112,349855831278913,06/25,441,0,21447.28
DOCTOR,84557,3553870111954997,11/34,481,1,84856.93
LAWYER,8148,180001143320059,02/32,234,1,7930.85
ENGINEER,44381,213153539600577,01/28,357,1,36213.72
ENGINEER,89918,3579087530105990,11/26,168,0,23051.59
DOCTOR,44195,4583074809669403,11/29,30,1,44072.94
ENGINEER,72230,4281146674900,10/28,910,0,21575.59
ENGINEER,24701,376000387659671,07/26,652,0,12229.82
LAWYER,60453,568384357303,02/31,943,1,46441.2
ENGINEER,78601,4645988759054,09/27,7007,0,29715.72
ENGINEER,16876,180028862432450,05/32,934,1,15224.84
LAWYER,81376,4866184884812311,04/33,138,1,74385.79
ENGINEER,71371,4540224464835,12/24,697,0,27623.37
LAWYER,69607,4386864722771,04/32,172,0,26240.06
LAWYER,74435,4333665385897137,02/31,973,0,36957.16
DOCTOR,30573,2720277693386855,06/30,6782,0,4627.46
ENGINEER,89038,180045656126395,01/28,841,1,66961.46
DOCTOR,76535,4855602057453293,03/32,599,1,81293.14
ENGINEER,64837,213127210838508,10/25,583,0,21484.05
LAWYER,91610,4000821167430,10/34,661,1,76684.93
DOCTOR,80172,4037425165774,07/33,278,0,10564.08
LAWYER,26269,213181315528787,01/25,561,1,19513.38
DOCTOR,38235,3561172285278323,04/31,781,0,17499.26
ENGINEER,76592,377120241972257,01/26,712,1,60962.15
ENGINEER,71053,565856945995,04/30,139,0,16295.91
ENGINEER,93795,4810224578932961223,08/32,310,0,17883.19
ENGINEER,35281,630454086061,07/28,7645,0,8537.95
LAWYER,31352,4543850478862125,10/28,299,1,23034.69
ENGINEER,70667,4400842028662,01/28,471,0,21738.86
DOCTOR,90931,343858573359426,04/29,823,0,11552.33
DOCTOR,99530,4545023282627421677,09/28,8257,1,109500.74
DOCTOR,83826,2716572577128571,10/32,357,0,16219.06
ENGINEER,68278,4726262733699187634,11/30,945,1,66230.07
DOCTOR,75850,4066973042860107,08/32,994,0,34286.6
LAWYER,36108,565904927599,09/31,435,0,13011.55
DOCTOR,50521,4498577760384,10/25,444,1,48827.48
LAWYER,43246,6522247238677515,05/33,952,0,9935.05
ENGINEER,84842,60434710814,08/29,754,1,73515.67
ENGINEER,66962,2284455030387236,11/28,586,1,69288.49
ENGINEER,44067,2225086782021723,03/31,151,0,21930.2
ENGINEER,1692,2258107648816245,12/27,951,1,1744.32
ENGINEER,65008,2274252956269973,11/31,372,1,63635.79
LAWYER,14725,3570740544129922,04/27,131,0,5776.03
DOCTOR,97639,4387407922123098,07/26,370,0,27932.78
ENGINEER,63605,4298070123894,09/34,770,0,7890.64
ENGINEER,25677,2720286327456927,05/28,568,1,25192.95
DOCTOR,7684,4660821663948240,04/31,6019,0,3711.76
DOCTOR,45177,180008730246639,10/27,345,0,7685.56
ENGINEER,76093,2598480097768475,03/30,180,0,28611.12
DOCTOR,52791,6011045425470753,10/30,591,1,42257.45
LAWYER,27015,503865554938,11/27,485,1,26148.19
LAWYER,78468,180021664793633,08/26,8433,0,10881.2
DOCTOR,44417,3511531751352592,10/29,14,0,12443.35
ENGINEER,3779,378266651542996,12/31,621,0,1520.92
DOCTOR,14606,180023560096624,12/30,105,1,12762.51
ENGINEER,58377,3537736214598471,12/24,64,0,21363.92
LAWYER,93826,4036106183791,04/34,48,1,102995.14
LAWYER,35640,30403556051621,01/31,655,0,16781.85
LAWYER,13634,60455523351,07/29,741,1,11143.36
DOCTOR,26117,347045818828805,02/25,259,0,6783.27
DOCTOR,2255,375269950140622,12/32,781,1,1750.35
ENGINEER,24035,372295791442649,06/25,403,1,28751.67
DOCTOR,91453,4792911930038,06/29,831,0,43056.11
LAWYER,43022,4222950320255,07/31,876,1,41730.42
LAWYER,29398,213110779321892,01/26,228,1,32955.65
ENGINEER,2473,3509180140250184,10/33,872,1,2375.26
DOCTOR,81865,3521693076245345,09/34,521,0,28606.44
LAWYER,77825,2566071383617076,11/24,441,1,57945.55
LAWYER,31300,4796135797844334852,08/27,623,1,33729.98
ENGINEER,48399,38424218898482,04/30,123,1,36969.9
ENGINEER,83696,639035770937,03/29,524,1,93156.48
ENGINEER,98348,4821376435272,07/30,997,1,107299.05
DOCTOR,59225,4251822531784077,02/25,361,0,22712.66
DOCTOR,75841,3548495162324680,06/30,519,1,54459.92
LAWYER,24366,3588540430710102,03/25,352,0,5391.01
ENGINEER,95471,4316152840194120,10/30,624,0,19594.95
DOCTOR,13899,676209314639,05/32,29,1,12232.07
LAWYER,42737,3533060366699092,09/26,763,1,31788.69
ENGINEER,1410,3506960524148879,03/26,901,1,1647.56
ENGINEER,20791,3511910229049289,07/29,386,1,20310.75
ENGINEER,98455,4887401824529788,06/26,773,0,21877.66
LAWYER,91107,676321494251,09/31,935,0,23577.82
DOCTOR,52023,213147554730053,12/31,529,0,14508.23
ENGINEER,78618,2280403615671925,12/24,125,0,26748.81
LAWYER,80689,4304675686432,01/30,64,0,24712.76
DOCTOR,40057,3547963227749226,08/29,692,0,18736.93
DOCTOR,73619,5415904264888877,08/34,258,0,21996.28
LAWYER,38751,3539798864128346,05/31,3020,1,46349.26
DOCTOR,60866,6011231125929120,05/29,489,0,26815.73
ENGINEER,42129,30547446690913,09/27,803,0,7726.64
ENGINEER,41560,348084921608274,04/29,888,1,48429.77
ENGINEER,5058,6011763490945224,01/26,579,1,3834.89
DOCTOR,44390,213182603081125,01/27,221,0,18953.64
LAWYER,71846,376665920125792,11/29,552,0,18123.1
ENGINEER,26817,30344407648068,11/25,155,0,12099.55
ENGINEER,70628,213144109407451,03/29,397,1,80094.15
LAWYER,7668,3532821186297081,05/30,922,1,8457.52
ENGINEER,4408,4567314849018165,07/34,820,0,1833.78
DOCTOR,25071,4772861490059556275,12/29,375,1,21369.01
ENGINEER,91285,38072290287015,02/34,818,0,12083.19
DOCTOR,12953,30249622844378,12/32,5662,1,11677.0
LAWYER,70342,4011940358420,09/34,9680,0,11916.62
DOCTOR,75963,4315197834234910837,12/26,762,1,79569.38
ENGINEER,35348,6588131956407928,10/27,980,1,30860.57
DOCTOR,97752,4259804917071589718,11/29,978,1,116110.32
ENGINEER,54613,4120263685036,12/24,491,0,19463.46
DOCTOR,29855,3591356418316829,10/26,837,0,12807.56
LAWYER,11524,180070574024050,08/33,241,0,1763.29
ENGINEER,41536,4149260866940722515,01/34,928,0,18475.45
DOCTOR,20010,4063111658030664,09/27,642,1,23239.19
LAWYER,86557,180030379309726,07/32,608,1,81669.21
DOCTOR,52250,4468679652454891,03/26,720,0,17895.69
ENGINEER,32146,4668228899880496824,08/32,987,0,13048.83
ENGINEER,43194,4834225100676011,12/30,213,1,34011.79
LAWYER,49323,4154559097141973,09/27,282,1,46920.13
ENGINEER,52958,6011283002818629,07/31,446,0,13740.76
ENGINEER,41140,3576274939142013,04/25,209,0,6522.73
DOCTOR,99898,4849037564293446,02/29,1282,0,24676.18
LAWYER,24901,3547884939990173,08/33,705,1,18279.48
ENGINEER,59563,36011703497771,03/26,206,1,42462.82
LAWYER,40422,30284150997108,07/31,418,0,6227.68
DOCTOR,20089,2248872592990501,03/26,470,1,23736.31
LAWYER,70839,3539799829685321,10/26,157,1,69051.36
LAWYER,3835,4880663598333427,05/32,705,0,1865.07
LAWYER,65618,4530728757175689,09/32,51,0,17913.66
LAWYER,93933,2227004356249123,10/31,301,1,80398.01
DOCTOR,89134,4204607816257352039,08/27,137,0,26959.18
ENGINEER,93507,6011573623116639,08/32,839,0,25789.67
DOCTOR,80973,3528766602266218,07/27,493,0,11519.69
ENGINEER,32489,675940632382,10/34,607,1,33152.2
ENGINEER,48395,3594807401147404,02/30,839,1,39104.08
LAWYER,10764,213155307057674,06/32,597,0,3744.1
DOCTOR,98042,2720109596869531,09/27,696,0,35303.01
DOCTOR,78740,3560508669933309,05/32,353,0,12662.17
ENGINEER,52462,3572557805559193,08/26,483,0,6533.61
ENGINEER,65716,4926672648516549,10/34,416,0,27095.01
LAWYER,63650,180099060475088,01/26,8480,1,59188.15
ENGINEER,1983,3585622036026548,07/28,936,1,1445.77
DOCTOR,74974,502070834705,07/29,451,1,89776.35
DOCTOR,50734,4295708711713572,11/30,305,0,6245.98
LAWYER,24404,2690721924171392,05/26,2503,1,25563.62
LAWYER,3436,639005905844,01/30,178,1,4095.16
ENGINEER,63741,676178153521,01/30,347,0,12472.33
DOCTOR,97356,4205992598087,08/30,502,1,75073.61
ENGINEER,92682,4972563426320274,02/27,398,0,13768.28
LAWYER,85691,4349996341597,12/33,157,0,18964.28
DOCTOR,55512,4057120448407093360,03/34,452,1,41663.03
LAWYER,32472,60478497518,01/29,679,1,33968.33
DOCTOR,76156,3569611695329152,09/32,337,0,9513.16
LAWYER,48928,3567734658883809,01/34,385,0,14862.8
LAWYER,30106,6011424092601604,06/33,638,0,15013.22
DOCTOR,42761,3572186928721751,05/27,464,1,47335.79
DOCTOR,89290,30566917524260,10/28,161,0,30902.18
ENGINEER,24900,4289384271824282642,06/31,470,0,5540.29
LAWYER,69853,6011933647421938,09/33,583,1,70687.6
LAWYER,99587,582294936106,11/32,658,1,95954.14
LAWYER,31168,3567736569474677,07/32,735,1,28457.68
LAWYER,96512,4109679448456056,08/30,337,0,14697.25
LAWYER,55937,6584093981353705,05/29,691,0,25431.29
ENGINEER,47843,3582121944782329,02/34,699,0,13391.92
DOCTOR,26531,372572569103680,11/29,343,1,21153.46
LAWYER,71683,3524999289880092,10/30,149,0,17713.14
DOCTOR,63665,375426318203514,03/31,752,1,57748.29
ENGINEER,9767,676264037786,12/29,589,0,4209.73
LAWYER,3270,4048902760599,12/24,196,1,3488.46
LAWYER,21698,2720596105932018,02/30,40,1,23534.79
ENGINEER,89196,180049455516871,06/33,646,1,62929.17
ENGINEER,53799,213120070625271,10/25,944,0,14335.37
LAWYER,74457,30346263477854,01/26,4786,0,21781.48
LAWYER,50114,4397035509681192,02/32,240,0,5396.12
LAWYER,59193,5284230414483007,07/27,43,0,12070.95
DOCTOR,8643,3563482786630205,03/25,1499,1,9335.69
DOCTOR,67924,36821228442908,12/32,522,1,52203.32
LAWYER,29109,3515118136262682,03/32,40,0,9143.84
DOCTOR,72153,3576147579991271,02/29,613,1,58270.83
ENGINEER,16360,375455762355413,06/28,936,0,1715.32
DOCTOR,25403,4333581439620468,07/27,797,0,4991.2
DOCTOR,31365,30132130832632,08/29,819,1,37259.64
ENGINEER,93912,4188284618051037,10/28,190,1,103375.38
LAWYER,21083,376132587191377,02/34,390,1,24873.48
ENGINEER,94714,3538147572937112,12/24,986,1,89403.1
DOCTOR,86210,4029819210522,08/30,192,1,65077.18
ENGINEER,10029,4027990244483700,10/27,638,1,9768.04
LAWYER,89527,4317558345875691,10/26,134,0,25224.32
DOCTOR,40538,378595307882723,05/29,778,0,17745.22
ENGINEER,6897,4976358963236785,01/29,967,0,960.29
DOCTOR,60677,4124986875127907,10/26,552,1,57286.4
DOCTOR,35666,2285967065282271,02/27,479,1,27642.02
DOCTOR,60701,4756413030063930,11/24,681,1,52344.78
LAWYER,84462,2292490222621282,12/30,792,1,90262.73
LAWYER,60191,4307400654681208,12/30,5602,1,56459.7
LAWYER,8114,180093924808725,10/26,418,0,2031.38
DOCTOR,78870,6520070548500322,01/33,577,0,20331.94
DOCTOR,4440,4221267952678167,09/30,2576,0,1259.98
DOCTOR,26843,4516040843054441221,09/32,973,1,29326.2
DOCTOR,81445,4705872881009046309,04/25,298,0,37206.83
ENGINEER,64398,4036929792888646,11/27,592,1,75839.42
LAWYER,81423,3582484647469549,11/32,762,1,89032.12
ENGINEER,91893,676247771667,04/31,285,1,78816.94
LAWYER,73946,4546299056526297,05/31,1253,0,27748.52
DOCTOR,54471,639095882341,07/33,7106,0,14981.77
DOCTOR,57377,2522425709695914,01/26,522,1,47470.02
ENGINEER,56544,4927558054231526,02/34,188,1,63353.92
DOCTOR,40616,180027283838824,07/27,469,0,4685.89
ENGINEER,57357,4563503691543148,07/33,6161,1,66011.08
ENGINEER,30378,3542563645351525,06/25,846,1,28273.98
DOCTOR,79683,6011721101732811,05/34,457,1,81165.16
ENGINEER,51459,30471278334393,03/33,416,0,18717.78
DOCTOR,1286,4496445888331188,04/27,496,0,589.05
ENGINEER,87518,4817387452871225966,06/26,809,1,89122.63
LAWYER,95308,60403095015,12/26,1563,0,32935.91
ENGINEER,14572,6011007366858164,12/32,322,0,1845.7
DOCTOR,73148,6537877659359533,02/32,849,1,70163.85
LAWYER,11261,4472237702938,11/29,687,0,1802.52
ENGINEER,9062,4959503535489711226,08/26,348,1,9684.71
LAWYER,62885,180008541353509,11/33,837,0,19172.93
DOCTOR,28219,4753426098897239877,04/32,427,0,10500.04
DOCTOR,48459,30400853968176,07/32,963,1,34931.01
LAWYER,24763,348525141069747,09/31,564,1,18383.95
ENGINEER,2867,2265592196139895,09/27,8,1,3033.75
ENGINEER,75802,4781242880856252,09/33,643,0,9765.85
ENGINEER,83971,3583725260874616,08/29,727,1,61771.45
ENGINEER,15377,180098264963576,06/32,180,1,10857.0
DOCTOR,41024,3557603612807646,11/27,84,1,48336.56
DOCTOR,54109,4083401691299668056,11/26,671,1,57829.22
DOCTOR,43578,4115642593651832,01/33,127,0,10515.4
LAWYER,59364,4946085818748,04/33,215,1,50356.57
ENGINEER,17826,6593108177361988,11/27,627,1,15595.1
LAWYER,60029,6525899133302081,02/33,545,1,65271.14
DOCTOR,86473,374880286267284,01/34,861,1,89126.45
ENGINEER,57694,4570125988897258665,03/32,925,0,10043.27
ENGINEER,15147,676190795358,09/28,11,1,11921.52
ENGINEER,69808,38826167730476,01/34,664,0,9728.32
ENGINEER,34978,4074561357110471,05/28,944,1,36032.63
DOCTOR,89545,373004641152732,05/34,733,1,96904.38
DOCTOR,92832,3523801443483030,01/29,67,0,19125.12
LAWYER,33306,675963424931,12/30,951,1,23663.0
LAWYER,2919,344865849140299,03/25,883,0,387.84
ENGINEER,6476,3522391123089571,07/27,108,1,7667.13
DOCTOR,18473,3528177799238657,03/29,964,0,4030.4
DOCTOR,83642,675948538516,05/28,342,0,34099.95
LAWYER,22167,3570593287283947,12/32,1,0,7755.47
DOCTOR,755,676197190074,06/30,744,1,672.68
LAWYER,7106,3545321649420664,09/32,878,1,5705.01
